model_name,price,url_media
Talisman,"$23,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGu1W72DFH9qLp0JkB5mmawhnLShh9PNBtuw&s
Scenic,"$19,000.00",https://hips.hearstapps.com/hmg-prod/images/renault-scenic-2021-1604481993.jpg
Trafic,"$25,000.00",https://autotest.com.ar/wp-content/uploads/2020/11/RENAULT-TRAFIC-2021.jpg
Zoe,"$25,000.00",https://autotest.com.ar/wp-content/uploads/2021/04/RENAULT-ZOE-9.jpg
Corolla,"$22,000.00",https://blog.karvi.com.ar/wp-content/uploads/2022/03/Corolla2-e1647960304823-850x521.jpg
Camry,"$18,000.00",https://acroadtrip.blob.core.windows.net/catalogo-imagenes/m/RT_V_396ab69f90b148ababd5c1e29f99f3ce.jpg
Rav4,"$19,000.00",https://media.toyota.com.ar/c7cb605b-6141-4a67-829f-e263a862c1c7.png
Highlander,"$15,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeeJd0SLN1AMYkuTlDCqFcw6w1EF1vosBIPQ&s
Prius,"$23,000.00",https://www.toyotapanamericana.com/uploads/vehiculos/nuevos/colores/color_28-04-2017_Prius_1.jpg
Tacoma,"$17,000.00",https://hips.hearstapps.com/hmg-prod/images/toyota-tacoma-trd-pro-1622745476.jpg
4runner,"$18,000.00",https://www.toyota.com/imgix/content/dam/toyota/jellies/max/2024/4runner/trdpro/8674/040/36/5.png?fmt=png&w=930&qlt=90
Sienna,"$24,000.00",https://edgecast-img.yahoo.net/mysterio/api/0DD6B17FD63C1EAEC2A0A6F525A8CDB856CA04952FE546F6D23954561AD8E783/autoblog/resizefill_w660_h372;quality_80;format_webp;cc_31536000;/https://s.aolcdn.com/commerce/autodata/images/USD10TOV111A021001.jpg
Yaris,"$19,000.00",https://media.toyota.com.ar/51bb15fd-90b5-49a6-ae79-c42db1d1baf7.png
Land Cruiser,"$16,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTooaWtwC_fuObCwWB6EBrGOlsAZgHw4cVHhQ&s
Golf,"$17,000.00",https://fotos.perfil.com/2019/10/23/volkswagen-golf-795885.jpg
Passat,"$20,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSTj0HEykjVClYCHc1Dz_H4tkozxJzYslWtg&s
Tiguan,"$16,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-EZf0eoRfeVJ4EkOf_k13SAZH8cd86Ml34A&s
Polo,"$20,000.00",https://www.carone.com.ar/wp-content/uploads/2021/09/Polo-Track-2023-PhotoRoom.png-PhotoRoom-e1693237529501.png
Jetta,"$18,000.00",https://cf-cdn-v6.volkswagen.at/media/Content_Model_Equipment_Lightbox_Child_MediaBig_Image_Component/58311-720250_lightbox-491095-mediaBig-child/dh-1143-00fe24/47f6d8cc/1700720150/plata-pirita.png
Touareg,"$25,000.00",https://www.carone.com.ar/wp-content/uploads/2021/10/vw-touareg.png
Arteon,"$21,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGuzyg6GdcVmG3GttgF39j2zzY9Bw18HoE3g&s
Beetle,"$17,000.00",https://cdn.motor1.com/images/mgl/OXzmA/s1/lanzamiento-volkswagen-the-beetle.jpg
Atlas,"$22,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRF7fvriQpO1bFhcoOgwAByL3_oBQvpbPjPw&s
Id.4,"$20,000.00",https://cdn.motor1.com/images/mgl/lgvoN/s1/id-4-la-suv-electrica-que-vw-quiere-traer-a-la-argentina.jpg
A-class,"$17,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHOwKhdLulhuf2cei1NoZnsccKacZv7UTJg&s
C-class,"$17,000.00",https://upload.wikimedia.org/wikipedia/commons/b/be/Mercedes-Benz_W206_IMG_6380.jpg
E-class,"$21,000.00",https://upload.wikimedia.org/wikipedia/commons/f/fd/Mercedes-Benz_W214_1X7A1841.jpg
S-class,"$24,000.00",https://www.mansory.com/sites/default/files/styles/1920x_fullwidth_image/public/2022-07/mansory-maybach-s-class-01.jpg?itok=mD2wCnaa
Gla,"$15,000.00",https://www.mercedes-benz.com.ar/content/dam/hq/passengercars/cars/gla/gla-suv-h247-fl-pi/modeloverview/03-2023/images/mercedes-gla-h247-modeloverview-696x392-03-2023.png
Glc,"$18,000.00",https://www.mercedes-benz.com.ar/content/dam/hq/passengercars/cars/glc/suv-x254/modeloverview/images/mercedes-benz-glc-suv-x254-modeloverview-696x392-05-2022.png
Gle,"$19,000.00",https://www.mercedes-benz.com.ar/content/dam/hq/passengercars/cars/gle/gle-suv-v167-fl-pi/modeloverview/01-2023/images/mercedes-benz-gle-suv-v167-modeloverview-696x392-01-2023.png
Gls,"$17,000.00",https://acnews.blob.core.windows.net/imgnews/medium/NAZ_b41e326720c94db2b273304a661d650e.webp
Cla,"$21,000.00",https://www.mercedes-benz.co.uk/content/dam/hq/passengercars/cars/cla/cla-coupe-c118-fl-pi/overview/highlights/02-2023/images/mercedes-benz-cla-coupe-c118-highlights-videostill-3302x1858-02-2023.jpg
Eqc,"$20,000.00",https://cdn.motor1.com/images/mgl/XWRYE/s1/2020-mercedes-benz-eqc.jpg
